# x_m,y_m,w_tr_right_m,w_tr_left_m
-317.4736158387109,-148.104937917568,4.0,4.0
-317.4078147413852,-148.0148592897558,4.0,4.0
-317.3362068663579,-147.91511365603498,4.0,4.0
-317.2702224979351,-147.82323867975708,4.0,4.0
-317.1877038410202,-147.70872607470196,4.0,4.0
-317.11420111519527,-147.60697092438824,4.0,4.0
-317.03024602929423,-147.49092073199668,4.0,4.0
-316.96823479325104,-147.40527224912418,4.0,4.0
-316.90121131458153,-147.31287967243003,4.0,4.0
-316.8291450313401,-147.2135146463022,4.0,4.0
-316.7518525680869,-147.1070858275148,4.0,4.0
-316.6693033625041,-146.99344098023852,4.0,4.0
-316.58134460210863,-146.87244309172422,4.0,4.0
-316.4879457244065,-146.74397037115554,4.0,4.0
-316.38901504164846,-146.60794670023049,4.0,4.0
-316.2843691789991,-146.46420461835336,4.0,4.0
-316.1740692616423,-146.31272890114641,4.0,4.0
-316.0580236021077,-146.15341298450466,4.0,4.0
-315.93623220271445,-145.98627209379816,4.0,4.0
-315.87321241307774,-145.8997558633831,4.0,4.0
-315.808664500604,-145.81129100118164,4.0,4.0
-315.67541218239074,-145.62853060345944,4.0,4.0
-315.5365058098034,-145.43811269097813,4.0,4.0
-315.46495909495314,-145.3400569048899,4.0,4.0
-315.39209819439156,-145.2401590514553,4.0,4.0
-315.24231158633836,-145.0349741596274,4.0,4.0
-315.0874210482465,-144.82280159262228,4.0,4.0
-315.0080809074311,-144.7141653412933,4.0,4.0
-314.92751826857295,-144.60390015698056,4.0,4.0
-314.76284774583775,-144.3785134281987,4.0,4.0
-314.5937151036864,-144.14699155218085,4.0,4.0
-314.42027315298844,-143.90971512103255,4.0,4.0
-314.2428886440461,-143.66707994747514,4.0,4.0
-314.1527905171315,-143.5438594017061,4.0,4.0
-314.06183664250443,-143.41946663104392,4.0,4.0
-313.8773616450509,-143.16725575865374,4.0,4.0
-313.6897998365435,-142.91079747611056,4.0,4.0
-313.59493396217283,-142.781076409667,4.0,4.0
-313.4993345873305,-142.65044192273643,4.0,4.0
-313.3062409624983,-142.38658492018766,4.0,4.0
-313.1112524700094,-142.12013989161323,4.0,4.0
-313.0124745991449,-141.98525799384242,4.0,4.0
-312.91235197909094,-141.84851880755411,4.0,4.0
-312.70987567894196,-141.57204136417363,4.0,4.0
-312.5051071947861,-141.2925496295378,4.0,4.0
-312.2986577786532,-141.01088091001546,4.0,4.0
-312.09058856419983,-140.72715699650706,4.0,4.0
-311.88105235875094,-140.4415757954873,4.0,4.0
-311.6701714056682,-140.154122079464,4.0,4.0
-311.45788457904996,-139.8649785340928,4.0,4.0
-311.24425300767314,-139.57416038478738,4.0,4.0
-311.0294600677098,-139.2816980792435,4.0,4.0
-310.8134140689866,-138.9877134024275,4.0,4.0
-310.596267822264,-138.6922215811735,4.0,4.0
-310.37802133410275,-138.3953291834622,4.0,4.0
-310.15867461315764,-138.0970971066048,4.0,4.0
-310.04858866285264,-137.94746346446192,4.0,4.0
-309.9382582134826,-137.79744923079716,4.0,4.0
-309.7167110047507,-137.49635510342415,4.0,4.0
-309.4940329861452,-137.19381472667985,4.0,4.0
-309.38223554039394,-137.04197364912181,4.0,4.0
-309.27016303237946,-136.88979765118455,4.0,4.0
-309.0451622665146,-136.5843343224401,4.0,4.0
-308.81903068635427,-136.27737907170592,4.0,4.0
-308.705552302265,-136.12334578188032,4.0,4.0
-308.59173773139787,-135.96894712330905,4.0,4.0
-308.36331396539623,-135.6590689211044,4.0,4.0
-308.1337288218245,-135.34768357224632,4.0,4.0
-308.0185083724367,-135.19141239518464,4.0,4.0
-307.9029822969963,-135.0347606269235,4.0,4.0
-307.6711049569174,-134.72039142776165,4.0,4.0
-307.4379745546487,-134.40460642409863,4.0,4.0
-307.3210120408312,-134.24618870500467,4.0,4.0
-307.2038050263055,-134.087390391888,4.0,4.0
-306.96868805687086,-133.76886512068438,4.0,4.0
-306.7325625248845,-133.44910672838574,4.0,4.0
-306.4953978716481,-133.1281913370029,4.0,4.0
-306.25740802867574,-132.80605804639782,4.0,4.0
-306.01853186383113,-132.48273730459113,4.0,4.0
-305.778769381964,-132.15835090140672,4.0,4.0
-305.538059462881,-131.83295973199893,4.0,4.0
-305.4174294407167,-131.66989877912778,4.0,4.0
-305.2967077307663,-131.50660947041519,4.0,4.0
-305.05465305925395,-131.17945234877138,4.0,4.0
-304.812017704848,-130.85156449453942,4.0,4.0
-304.69047081190195,-130.68739221256848,4.0,4.0
-304.5688016702314,-130.52305246949084,4.0,4.0
-304.3250660730358,-130.1938401540839,4.0,4.0
-304.0809025975068,-129.86403411234073,4.0,4.0
-303.9585916412699,-129.69891795895904,4.0,4.0
-303.83618899850484,-129.53366479378673,4.0,4.0
-303.590986402425,-129.2027626462941,4.0,4.0
-303.3454170574883,-128.87135811647576,4.0,4.0
-303.09948096386915,-128.5395882190258,4.0,4.0
-302.85326982020183,-128.20751385106968,4.0,4.0
-302.6067836227176,-127.87516545915695,4.0,4.0
-302.483433556247,-127.70886186144102,4.0,4.0
-302.36002236505067,-127.54248214628504,4.0,4.0
-302.11295548318657,-127.20950197138885,4.0,4.0
-301.865644102875,-126.87619448707419,4.0,4.0
-301.61802709941406,-126.54259775412403,4.0,4.0
-301.370043348115,-126.20874221470874,4.0,4.0
-301.121845661926,-125.8745593703868,4.0,4.0
-300.8734034814707,-125.5401481695928,4.0,4.0
-300.624655682242,-125.20552384012012,4.0,4.0
-300.5002359410403,-125.03811652589312,4.0,4.0
-300.37569395078947,-124.87063309581309,4.0,4.0
-300.12645715820867,-124.53550638735435,4.0,4.0
-299.8770369892723,-124.200166542386,4.0,4.0
-299.7522199354224,-124.03240908366,4.0,4.0
-299.62734175614514,-123.86456789534407,4.0,4.0
-299.37737145804545,-123.52867238210996,4.0,4.0
-299.1270649635432,-123.19242672094974,4.0,4.0
-299.00182002606874,-123.02419732138608,4.0,4.0
-298.8765139621158,-122.85589180453354,4.0,4.0
-298.6256267679748,-122.51906763734986,4.0,4.0
-298.37449507056084,-122.18189332157914,4.0,4.0
-298.1230271834511,-121.84447542392611,4.0,4.0
-297.87131479393656,-121.50679111274704,4.0,4.0
-297.61941902646316,-121.1688251582659,4.0,4.0
-297.4933488922581,-120.99976606410527,4.0,4.0
-297.3672176329378,-120.83063846244922,4.0,4.0
-297.11483286187297,-120.49223101674443,4.0,4.0
-296.86217302391213,-120.15353432131485,4.0,4.0
-296.73573613417693,-119.98409462996935,4.0,4.0
-296.60929924359357,-119.81459404345158,4.0,4.0
-296.48277066417506,-119.64503256077191,4.0,4.0
-296.35624208376896,-119.4754330188197,4.0,4.0
-296.22959125273394,-119.30579541760186,4.0,4.0
-296.1029404213014,-119.1361121450147,4.0,4.0
-295.84939425781437,-118.79662380724689,4.0,4.0
-295.72252948854583,-118.6267959104944,4.0,4.0
-295.59566471798837,-118.45693756381665,4.0,4.0
-295.46873882138465,-118.28703354357076,4.0,4.0
-295.341782361893,-118.11708385277484,4.0,4.0
-295.2147647772526,-117.94710371655025,4.0,4.0
-295.08771663055245,-117.77710835440108,4.0,4.0
-294.9606073595587,-117.60709015762504,4.0,4.0
-294.83346752653006,-117.4370415129363,4.0,4.0
-294.70629713144587,-117.26696242136586,4.0,4.0
-294.57912673636895,-117.09686810670026,4.0,4.0
-294.45189521614077,-116.92678140294417,4.0,4.0
-294.3246331330225,-116.7566718626434,4.0,4.0
-294.0700784029199,-116.41641472352488,4.0,4.0
-293.94281631812885,-116.24625951129833,4.0,4.0
-293.8154625453194,-116.0760966868619,4.0,4.0
-293.6881087712012,-115.90591102706863,4.0,4.0
-293.5607549955864,-115.73571014277951,4.0,4.0
-293.4333095304639,-115.56550164470039,4.0,4.0
-293.3058335012988,-115.39526269813385,4.0,4.0
-293.17838803233826,-115.22499330396172,4.0,4.0
-293.050881436526,-115.05470107239125,4.0,4.0
-292.9233442767886,-114.88437839313028,4.0,4.0
-292.79580711581355,-114.7140481019571,4.0,4.0
-292.6682393915741,-114.54371781020932,4.0,4.0
-292.54061054165953,-114.37336468122135,4.0,4.0
-292.285352840315,-114.03261275431348,4.0,4.0
-292.15769342660025,-113.86223679033334,4.0,4.0
